date,close,score,signal,confidence_pct,regime,S1_signal,S1_conf,S2_signal,S2_conf,S3_signal,S3_conf,S4_signal,S4_conf,S5_signal,S5_conf,S6_signal,S6_conf,S7_signal,S7_conf,S8_signal,S8_conf,S9_signal,S9_conf,S10_signal,S10_conf
2024-03-04,2117.699951171875,0.11300978091949285,1,9.11113981851703,neutral,1.0,0.552,1.0,1.0,-1.0,0.163,-1.0,0.67,0.0,0.0,0.0,0.401,0.0,0.0,0.0,0.046,-1.0,0.109,0.0,0.0
2024-03-05,2133.5,0.22052368897211305,1,19.097911678610817,neutral,1.0,0.771,1.0,0.9,-1.0,0.237,-1.0,0.578,0.0,0.0,0.0,0.456,1.0,0.7,0.0,0.057,-1.0,0.077,0.0,0.0
2024-03-06,2150.300048828125,0.5389804890235386,1,46.67707956385442,trending,1.0,0.998,1.0,0.8,-1.0,0.307,-1.0,0.52,0.0,0.0,0.0,0.513,1.0,0.7,0.0,0.062,1.0,0.325,0.0,0.0
2024-03-07,2158.0,0.6187709231690743,1,53.587133858756744,trending,1.0,1.0,1.0,0.7,-1.0,0.337,-1.0,0.445,0.0,0.0,0.0,0.571,1.0,0.7,0.0,0.068,1.0,0.828,0.0,0.0
2024-03-08,2178.60009765625,0.5971799143194353,1,51.71729764304453,trending,1.0,1.0,1.0,0.6,-1.0,0.411,-1.0,0.433,0.0,0.0,0.0,0.633,1.0,0.7,0.0,0.07,1.0,0.871,0.0,0.0
2024-03-11,2182.5,0.5183103627684628,1,41.78751738253471,trending,1.0,1.0,1.0,0.5,-1.0,0.424,-1.0,0.4,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.077,1.0,0.714,0.0,0.0
2024-03-12,2160.39990234375,0.3357250752681285,1,29.074644386964206,trending,1.0,1.0,1.0,0.4,-1.0,0.095,-1.0,0.4,0.0,0.0,0.0,0.72,-1.0,0.7,0.0,0.078,1.0,0.602,0.0,0.0
2024-03-13,2175.39990234375,0.3319381910455731,1,28.74669059317186,trending,1.0,1.0,1.0,0.3,-1.0,0.168,-1.0,0.4,0.0,0.0,0.0,0.747,-1.0,0.7,0.0,0.07,1.0,0.738,0.0,0.0
2024-03-14,2163.0,0.20827442870970314,1,18.037094622129395,trending,1.0,1.0,1.0,0.2,-1.0,0.001,-1.0,0.4,0.0,0.0,0.0,0.772,-1.0,0.7,0.0,0.075,1.0,0.175,0.0,0.0
2024-03-15,2157.300048828125,0.168990411928133,1,14.634998972576,trending,1.0,1.0,1.0,0.1,-1.0,0.0,-1.0,0.4,0.0,0.0,0.0,0.788,-1.0,0.7,0.0,0.071,1.0,0.103,0.0,0.0
2024-03-18,2160.699951171875,0.2696046088514151,1,21.736218466893213,trending,1.0,1.0,1.0,0.1,-1.0,0.0,-1.0,0.4,0.0,0.0,0.0,0.787,0.0,0.0,0.0,0.069,-1.0,0.04,0.0,0.0
2024-03-19,2156.300048828125,0.22086374966970843,1,17.80660477092878,trending,1.0,1.0,1.0,0.1,-1.0,0.0,-1.0,0.4,0.0,0.0,0.0,0.785,0.0,0.0,0.0,0.069,-1.0,0.251,0.0,0.0
2024-03-20,2157.89990234375,0.30868403058340743,1,24.886902173471032,trending,1.0,1.0,1.0,0.1,-1.0,0.0,-1.0,0.4,0.0,0.0,0.0,0.801,0.0,0.0,0.0,0.068,1.0,0.129,0.0,0.0
2024-03-21,2182.39990234375,0.24557700450880296,1,21.2675924489909,trending,1.0,1.0,1.0,0.1,-1.0,0.061,-1.0,0.4,0.0,0.0,0.0,0.826,1.0,0.7,0.0,0.068,-1.0,0.422,0.0,0.0
2024-03-22,2158.10009765625,0.09447348315458451,1,7.6166957157180155,trending,1.0,1.0,1.0,0.1,-1.0,0.0,-1.0,0.4,0.0,0.0,0.0,0.818,0.0,0.0,0.0,0.076,-1.0,0.799,0.0,0.0
2024-03-25,2174.800048828125,0.14390750076356038,1,11.602193630692941,trending,1.0,1.0,1.0,0.1,-1.0,0.0,-1.0,0.4,0.0,0.0,0.0,0.812,0.0,0.0,0.0,0.068,-1.0,0.585,0.0,0.0
2024-03-26,2175.60009765625,0.1365183793976994,1,11.00646362084263,trending,1.0,1.0,1.0,0.1,-1.0,0.0,-1.0,0.4,0.0,0.0,0.0,0.807,0.0,0.0,0.0,0.073,-1.0,0.617,0.0,0.0
2024-03-27,2190.60009765625,0.20550634701686,1,17.797371715554114,trending,1.0,1.0,1.0,0.1,-1.0,0.0,-1.0,0.4,0.0,0.0,0.0,0.81,1.0,0.7,0.0,0.073,-1.0,0.647,0.0,0.0
2024-03-28,2217.39990234375,0.3308311460423532,1,32.0325879757187,trending,1.0,1.0,1.0,0.1,-1.0,0.105,-1.0,0.421,1.0,1.0,0.0,0.83,1.0,0.7,0.0,0.078,-1.0,0.805,0.0,0.0
2024-03-29,2217.39990234375,0.32547961948613263,1,31.51442864499297,trending,1.0,1.0,1.0,0.1,-1.0,0.105,-1.0,0.427,1.0,0.95,0.0,0.848,1.0,0.7,0.0,0.086,-1.0,0.773,0.0,0.0
